PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA EXHIBIDA EN SALAS DE CINE,PROPAGANDA UTILITARIA,TOTAL GASTOS
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 33-FRANCISCO LEON,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,ENEDINA NAÑEZ GALLEGOS,04/05/2021,02/06/2021,30/04/2021 07:54:09 p.m.,ACTIVO,,110422.27,,,,2114.38,,,,,2390.54,4504.92
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 69-PIJIJIAPAN,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,TANIA JAZMIN RIOS MONTES,04/05/2021,02/06/2021,30/04/2021 07:54:09 p.m.,ACTIVO,,965137.47,,,,18480.63,,,,,20894.49,39375.12
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 58-NICOLAS RUIZ,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,PAULINA DEL CARMEN FELIPE HERNANDEZ,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,68282.89,,13.41,,,,,117.09,,,130.5
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 5-AMATAN,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,BERTI LUZ HERNANDEZ MENDOZA,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,346361.15,,68.03,,,,,593.96,,,661.99
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 7-AMATENANGO DEL VALLE,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,FERNANDA GOMEZ LEON,04/05/2021,02/06/2021,30/04/2021 07:54:09 p.m.,ACTIVO,,149995.83,,4575.5,,2872.13,,,,,3247.28,10694.91
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 11-BELLA VISTA,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,YULENA MUÑOZ DIAZ,04/05/2021,02/06/2021,30/04/2021 07:54:09 p.m.,ACTIVO,,326574.37,,,,6253.3,,,,,7070.08,13323.38
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 15-CACAHOATAN,PRESIDENTE MUNICIPAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,CESAR OSVALDO ARRIOLA BARRERA,04/05/2021,02/06/2021,30/04/2021 11:50:30 p.m.,ACTIVO,,768240.32,,25.83,,59.91,,,,,,85.74
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 21-COPAINALA,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,GABRIELA SALVATIERRA PICHARDO,04/05/2021,02/06/2021,30/04/2021 07:54:09 p.m.,ACTIVO,,373637.33,,3182.01,,7154.47,,,,,8088.95,18425.43
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 43-IXTACOMITAN,PRESIDENTE MUNICIPAL,COA,VA POR CHIAPAS,PAN-PRI-PRD,ANA YELI ZACARIAS VAZQUEZ,04/05/2021,02/06/2021,30/04/2021 11:21:03 p.m.,ACTIVO,,173342.38,,532.44,,11368,,,,,23629.2,35529.64
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 48-JUAREZ,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,RAFAEL RUBEN LEON GUTIERREZ,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,362796.2,,71.26,,,,,622.14,,,693.4
