PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,DIFERENCIA POR PRORRATEO,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA EXHIBIDA EN SALAS DE CINE,PROPAGANDA UTILITARIA,TOTAL GASTOS
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 19-TLALNEPANTLA DE BAZ,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,KRISHNA KARINA ROMERO VELAZQUEZ,04/04/2021,02/06/2021,06/04/2021 05:43:04 a.m.,ACTIVO,,1648189,,,48938.04,18445.65,226366.55,,186305.28,299228.13,,136588.09,915871.74
PREFO-CAM-20/21,FEDERAL,CHIHUAHUA,Distrito 5-DELICIAS,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MARIO MATA CARRASCO,04/04/2021,02/06/2021,06/04/2021 05:43:04 a.m.,ACTIVO,,1648189,,0.03,95798.05,18445.65,171574.76,,131399.97,102728.13,,278025.26,797971.85
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 20-COSOLEACAQUE,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,IRMA LIZETTE DEL ANGEL TELLEZ,04/04/2021,02/06/2021,06/04/2021 05:41:58 a.m.,ACTIVO,,1648189,,,3430.95,2653.05,,,14406.9,33087.24,,,53578.14
PREFO-CAM-20/21,FEDERAL,CHIHUAHUA,Distrito 4-JUAREZ,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,RICARDO MELGOZA RAMOS,04/04/2021,02/06/2021,06/04/2021 05:35:08 a.m.,ACTIVO,,1648189,,,8413.96,,23821.27,,,,,9009.57,41244.8
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 2-SANTA MARIA TULTEPEC,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,BRENDA JOCELYNE PATRICIO AGUILAR,04/04/2021,02/06/2021,06/04/2021 05:41:58 a.m.,ACTIVO,,1648189,,,5200.18,2653.05,,,14406.9,33087.24,,,55347.37
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 4-VERACRUZ,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,TEREZA CRUZ FLORES,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,3430.95,2653.05,,,14406.9,33087.24,,,53578.14
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 6-PAPANTLA DE OLARTE,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,BLANCA NINFA CRUZ NAJERA,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,3430.95,2653.05,,,14406.9,33087.24,,,53578.14
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 10-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,KARLA YURIKO GARDUÑO RODRIGUEZ,04/04/2021,02/06/2021,06/04/2021 05:35:29 a.m.,ACTIVO,,1648189,,,57315.1,,3241.53,,,,,4815.81,65372.44
PREFO-CAM-20/21,FEDERAL,GUANAJUATO,Distrito 4-GUANAJUATO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,MARIBEL URIBE BUENDIA,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,7005.25,2653.05,1585.33,,5626.66,33087.24,,7046.97,57004.5
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 10-XALAPA,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,MIGUEL HEXAHELT REYES LANDA,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,3430.95,2653.05,,,14406.9,33087.24,,,53578.14
PREFO-CAM-20/21,FEDERAL,GUANAJUATO,Distrito 1-SAN LUIS DE LA PAZ,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,ADRIANA GUADALUPE GONZALEZ GARCIA,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,5596.28,2653.05,,,5626.66,33087.24,,3247.99,50211.22
PREFO-CAM-20/21,FEDERAL,GUANAJUATO,Distrito 8-SALAMANCA,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,SAUL ARAN ARELLANO,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,7005.25,2653.05,1585.33,,5626.66,33087.24,,7046.97,57004.5
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 12-VERACRUZ,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,PABLO CABALLERO PEREZ,04/04/2021,02/06/2021,06/04/2021 05:35:14 a.m.,ACTIVO,,1648189,,,61298.85,,2935.28,,,,,4815.81,69049.94
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 18-HUIXQUILUCAN DE DEGOLLADO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,CLAUDIA PEREZ PALACIOS,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,28309.95,2653.05,4575.42,,14406.9,33087.24,,876,83908.56
PREFO-CAM-20/21,FEDERAL,PUEBLA,Distrito 2-CUAUTILULCO BARRIO,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,PIEDAD LORENZO PEREZ,04/04/2021,02/06/2021,06/04/2021 05:35:21 a.m.,ACTIVO,,1648189,,,61760.38,,3151.94,,,,,4815.81,69728.13
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 16-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,MONICA TORRES SALVATTI,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,3430.95,2653.05,,,14406.9,33087.24,,,53578.14
PREFO-CAM-20/21,FEDERAL,CHIHUAHUA,Distrito 7-CUAUHTEMOC,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,JORGE ALBERTO ESPINOZA OROZCO,04/04/2021,02/06/2021,06/04/2021 05:35:08 a.m.,ACTIVO,,1648189,,,38413.96,,12930.64,,,,,19897.63,71242.23
PREFO-CAM-20/21,FEDERAL,MICHOACAN,Distrito 7-ZACAPU,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,ADRIANA CAMPOS HUIRACHE,04/04/2021,02/06/2021,06/04/2021 05:43:02 a.m.,ACTIVO,,1648189,,19.72,78211.48,18445.65,91800,,75063.19,27249.33,,171746.56,462535.93
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 24-NAUCALPAN DE JUAREZ,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,MARIA DE LOS ANGELES HUERTA DEL RIO,04/04/2021,02/06/2021,06/04/2021 05:42:26 a.m.,ACTIVO,,1648189,,,29932.65,,81229.18,29999.48,29000,53961.17,,3290.11,227412.59
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 8-TULTITLAN DE MARIANO ESCOBEDO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,JAIME HERNANDEZ ROSAS,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,5200.18,2653.05,,,14406.9,33087.24,,,55347.37
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 9-SAN FELIPE DEL PROGRESO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,MARCELINA BERNAL MARTINEZ,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,,3430.95,2653.05,,,14406.9,33087.24,,,53578.14
PREFO-CAM-20/21,FEDERAL,JALISCO,Distrito 3-TEPATITLAN DE MORELOS,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,DESIDERIO TINAJERO ROBLES,04/04/2021,02/06/2021,06/04/2021 05:43:04 a.m.,ACTIVO,,1648189,,,204310.97,18445.65,143089.48,,218950,109228.13,,147150.64,841174.87
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 35-TENANCINGO DE DEGOLLADO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,AMALIA DE JESUS FLORES HERNANDEZ,04/04/2021,02/06/2021,28/04/2021 12:15:20 p.m.,ACTIVO,,1648189,,,3430.95,2653.05,,,14406.9,33087.24,,,53578.14
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 36-TEJUPILCO DE HIDALGO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,DIANA BERENICE RIOS GARCIA,04/04/2021,02/06/2021,14/04/2021 12:43:46 a.m.,ACTIVO,,1648189,,,3430.95,2653.05,,,14406.9,33087.24,,,53578.14
