PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA UTILITARIA,TOTAL GASTOS
PREFO-CAM-20/21,FEDERAL,CHIHUAHUA,Distrito 1-JUAREZ,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,MANUEL JOSE MIRANDA SAM,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
PREFO-CAM-20/21,FEDERAL,CHIHUAHUA,Distrito 2-JUAREZ,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MIRIAM CABALLERO ARRAS,04/04/2021,02/06/2021,06/04/2021 05:42:36 a.m.,ACTIVO,,1648189,,10080,,87603.2,,,,6756.99,104440.19
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA SUR,Distrito 2-SAN JOSE DEL CABO,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,SUSANA DEL CARMEN ZATARAIN GARCIA,04/04/2021,02/06/2021,06/04/2021 05:42:36 a.m.,ACTIVO,,1648189,,,,,,,,4291.99,4291.99
PREFO-CAM-20/21,FEDERAL,CHIAPAS,Distrito 13-HUEHUETAN,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MARITOÑA CALDERON MERIDA,04/04/2021,02/06/2021,06/04/2021 05:42:36 a.m.,ACTIVO,,1648189,,13430,,62814,,,,36293.17,112537.17
PREFO-CAM-20/21,FEDERAL,JALISCO,Distrito 2-LAGOS DE MORENO,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,EVELIA HERNANDEZ PARADA,04/04/2021,02/06/2021,06/04/2021 05:34:11 a.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 2-GUSTAVO A. MADERO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,GLORIA LUZ SANCHEZ MEJIA,04/04/2021,02/06/2021,06/04/2021 05:41:26 a.m.,ACTIVO,,1648189,,10131.99,551.05,26303.39,,14406.9,5558.11,,56951.44
PREFO-CAM-20/21,FEDERAL,ZACATECAS,Distrito 3-ZACATECAS,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,FRANCISCO ESCOBEDO VILLA,04/04/2021,02/06/2021,06/04/2021 05:41:26 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
PREFO-CAM-20/21,FEDERAL,CHIAPAS,Distrito 1-PALENQUE,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,RUBEN MADARIAGA RIVERA,04/04/2021,02/06/2021,06/04/2021 05:41:26 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 4-NICOLAS ROMERO,DIPUTACION FEDERAL MR,C,FUERZA POR MÉXICO,FS X MÉXICO,AIDA BRAVO SANCHEZ,04/04/2021,02/06/2021,06/04/2021 05:39:49 a.m.,ACTIVO,,1648189,,,,25269.83,,,,85446.4,110716.23
PREFO-CAM-20/21,FEDERAL,SINALOA,Distrito 7-CULIACAN DE ROSALES,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,LYDIA KYOKO INUKAI SASHIDA,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,5129.3,551.05,1686.08,,,5558.11,,12924.54
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 31-CD. NEZAHUALCOYOTL,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,RENE SANCHEZ GARCIA,04/04/2021,02/06/2021,06/04/2021 05:42:50 a.m.,ACTIVO,,1648189,,25522.5,,120392.08,,7500,,16376.47,169791.05
PREFO-CAM-20/21,FEDERAL,CHIHUAHUA,Distrito 8-CHIHUAHUA,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,FERNANDO BEDEL TISCAREÑO LUJAN,04/04/2021,02/06/2021,06/04/2021 05:42:26 a.m.,ACTIVO,,1648189,,0,,,,,,,0
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 23-LERMA DE VILLADA,DIPUTACION FEDERAL MR,C,FUERZA POR MÉXICO,FS X MÉXICO,LIBNY GABRIELA PERALES QUIROZ,04/04/2021,02/06/2021,06/04/2021 05:39:49 a.m.,ACTIVO,,1648189,,,,25269.83,,,,85446.4,110716.23
PREFO-CAM-20/21,FEDERAL,TAMAULIPAS,Distrito 2-REYNOSA,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,ELOISA CASTRO DIEGO,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
PREFO-CAM-20/21,FEDERAL,PUEBLA,Distrito 5-SAN MARTIN TEXMELUCAN DE LABASTIDA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,CARLOS ALBERTO MORALES ALVAREZ,04/04/2021,02/06/2021,06/04/2021 05:42:50 a.m.,ACTIVO,,1648189,,4700,,99890.5,,,,20668.46,125258.96
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 36-TEJUPILCO DE HIDALGO,DIPUTACION FEDERAL MR,C,FUERZA POR MÉXICO,FS X MÉXICO,ANA PAULA JIMENEZ MEJIA,04/04/2021,02/06/2021,06/04/2021 05:39:49 a.m.,ACTIVO,,1648189,,,,25269.83,,,,85446.4,110716.23
PREFO-CAM-20/21,FEDERAL,JALISCO,Distrito 16-TLAQUEPAQUE,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,LAURA IMELDA PEREZ SEGURA,04/04/2021,02/06/2021,06/04/2021 05:42:26 a.m.,ACTIVO,,1648189,,22693.21,,12539.99,,,,,35233.2
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 21-XOCHIMILCO,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,LUIS DANIEL NAVA ROMERO,04/04/2021,02/06/2021,16/04/2021 08:10:08 p.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 20-IZTAPALAPA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,SINDY AGUILAR MARTINEZ,04/04/2021,02/06/2021,06/04/2021 05:42:50 a.m.,ACTIVO,,1648189,,6863.3,,204873.25,,,51288.05,21515.26,284539.86
PREFO-CAM-20/21,FEDERAL,YUCATAN,Distrito 2-PROGRESO,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,CRISTINA GABRIELA ANCONA LEY,04/04/2021,02/06/2021,06/04/2021 05:34:32 a.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 8-XALAPA,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,CLAUDIA TELLO ESPINOSA,04/04/2021,02/06/2021,06/04/2021 05:42:26 a.m.,ACTIVO,,1648189,,16940.6,,3190,,,,,20130.6
PREFO-CAM-20/21,FEDERAL,PUEBLA,Distrito 5-SAN MARTIN TEXMELUCAN DE LABASTIDA,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,MAURICIO ALONSO TOLEDO GUTIERREZ,04/04/2021,02/06/2021,06/04/2021 05:42:18 a.m.,ACTIVO,,1648189,,10207.17,,,,,,,10207.17
PREFO-CAM-20/21,FEDERAL,NAYARIT,Distrito 3-COMPOSTELA,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,JORGE ARMANDO ORTIZ RODRIGUEZ,04/04/2021,02/06/2021,06/04/2021 05:42:18 a.m.,ACTIVO,,1648189,,5272.6,,,,,,,5272.6
PREFO-CAM-20/21,FEDERAL,ZACATECAS,Distrito 3-ZACATECAS,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,ALFREDO FEMAT BAÑUELOS,04/04/2021,02/06/2021,06/04/2021 05:42:18 a.m.,ACTIVO,,1648189,,18050.26,,,,,,3727,21777.26
PREFO-CAM-20/21,FEDERAL,MICHOACAN,Distrito 3-HEROICA ZITACUARO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,MARIA DEL ROSARIO FLORES CARRANZA,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 36-TEJUPILCO DE HIDALGO,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,ANA KAREN ESPINOSA SOTO,04/04/2021,02/06/2021,28/04/2021 10:04:38 p.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 5-TLALPAN,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,LUCIA GONZALEZ LIBORIO,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,10131.99,551.05,26303.39,,14406.9,5558.11,,56951.44
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 13-IZTACALCO,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,ELSA DANIELA ACOSTA GUTIERREZ,04/04/2021,02/06/2021,06/04/2021 05:42:36 a.m.,ACTIVO,,1648189,,9000,,70104.6,,,,34108.63,113213.23
PREFO-CAM-20/21,FEDERAL,COAHUILA,Distrito 6-TORREON,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,LAURA OLIVIA AYALA FABELA,04/04/2021,02/06/2021,27/04/2021 07:03:15 p.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,CHIAPAS,Distrito 12-TAPACHULA,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,JOSE ANTONIO CONSTANTINO CORZO,04/04/2021,02/06/2021,06/04/2021 05:34:11 a.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 2-SANTA MARIA TULTEPEC,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,DIONICIA VAZQUEZ GARCIA,04/04/2021,02/06/2021,06/04/2021 05:42:18 a.m.,ACTIVO,,1648189,,35181.78,,176.67,,,,,35358.45
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 14-CIUDAD ADOLFO LOPEZ MATEOS,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,CLAUDIA ANGELICA DOMINGUEZ VAZQUEZ,04/04/2021,02/06/2021,06/04/2021 05:42:18 a.m.,ACTIVO,,1648189,,2000,,,,,,,2000
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 15-BENITO JUAREZ,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,RAMON PICAZO CASTELAN,04/04/2021,02/06/2021,06/04/2021 05:41:17 a.m.,ACTIVO,,1648189,,10131.99,551.05,13803.39,,14406.9,5558.11,,44451.44
PREFO-CAM-20/21,FEDERAL,OAXACA,Distrito 10-MIAHUATLAN DE PORFIRIO DIAZ,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MARIA DEL CARMEN RICARDEZ VELA,04/04/2021,02/06/2021,06/04/2021 05:42:36 a.m.,ACTIVO,,1648189,,98820,,67314.8,,68904,,29638,264676.8
PREFO-CAM-20/21,FEDERAL,MORELOS,Distrito 3-CUAUTLA,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,JOSE LUIS GALINDO CORTEZ,04/04/2021,02/06/2021,06/04/2021 05:34:25 a.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,SAN LUIS POTOSI,Distrito 4-CIUDAD VALLES,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,ROBERTO AZUARA CABELLO,04/04/2021,02/06/2021,06/04/2021 05:34:25 a.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,TABASCO,Distrito 1-MACUSPANA,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,ASDRUBAL FELICIANO PALMA,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,9958.97,551.05,,,,5558.11,,16068.13
PREFO-CAM-20/21,FEDERAL,COAHUILA,Distrito 7-SALTILLO,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,YESENIA LOURDES CARRILLO CAMPOS,04/04/2021,02/06/2021,06/04/2021 05:34:25 a.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,CHIHUAHUA,Distrito 9-HIDALGO DEL PARRAL,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,ZULMA VERONICA RUEDA CORONADO,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 5-POZA RICA DE HIDALGO,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,RENE NOEL FRANCISCO VAZQUEZ,04/04/2021,02/06/2021,06/04/2021 05:34:11 a.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 21-XOCHIMILCO,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,JOSE LUIS BARAJAS MEDINA,04/04/2021,02/06/2021,06/04/2021 05:42:36 a.m.,ACTIVO,,1648189,,18987.34,,,,,,64853.28,83840.62
PREFO-CAM-20/21,FEDERAL,DURANGO,Distrito 3-GUADALUPE VICTORIA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MARIA DE LOURDES MARTINEZ ESPINOSA,04/04/2021,02/06/2021,06/04/2021 05:42:36 a.m.,ACTIVO,,1648189,,28488,,11800.76,,75599.52,,32042.46,147930.74
